OVR,First Name,Last Name,Program,Position,Archetype,External ID
96,Jerry,Rice,Super Bowl,WR,Playmaker,56309601
96,Donovan,McNabb,Legends,QB,Strong Arm,110000833
96,Tetairoa,McMillan,NFL Honors,WR,Physical,58000002
96,Carson,Schwesinger,NFL Honors,MIKE,Field General,58000001
96,Coby,Bryant,Super Bowl,SS,Zone,56209604
96,Christian,Gonzalez,Super Bowl,CB,Man to Man,56209602
96,Hunter,Henry,Super Bowl,TE,Possession,56209601
96,Cooper,Kupp,Super Bowl,WR,Slot,56209603
96,Jamal,Lewis,Flashbacks,HB,Power Back,115001454
96,Clay,Matthews,Flashbacks,REDG,Power Rusher,115020143
96,Plaxico,Burress,Super Bowl,WR,Physical,56109601
96,Dwight,Freeney,Super Bowl,REDG,Speed Rusher,56109602
96,Jessie,Bates III,Collector's Series,FS,Zone,112813202
96,Kyler,Murray,Ranked,QB,Scrambler,11120430
96,Isaiah,Simmons,Ranked,SS,Run Support,11121000
96,LaDainian,Tomlinson,Ranked,HB,Elusive Back,11114130
96,Terrell,Buckley,Legends,CB,Man to Man,110005353
96,Mel,Blount,Super Bowl,CB,Man to Man,56009604
96,Marshall,Faulk,Super Bowl,HB,Receiving Back,56009601
96,Devin,Hester,Super Bowl,WR,Deep Threat,56009602
96,Mike,Singletary,Super Bowl,MIKE,Run Stopper,56009603
96,DeAngelo,Hall,Flashbacks,CB,Zone,115017471
96,Marcedes,Lewis,Flashbacks,TE,Blocking,115027284
96,Brock,Purdy,TOTW,QB,Field General,111000233
96,Jeffery,Simmons,TOTW,DT,Nose Tackle,111000234
96,Nico,Collins,Team Builders,WR,Deep Threat,13521587
96,Josh,Hines-Allen,Team Builders,REDG,Speed Rusher,13520410
96,Colston,Loveland,Ranked,TE,Vertical Threat,11015117
96,Julius,Peppers,Ranked,LEDG,Speed Rusher,11014816
96,Tariq,Woolen,Ranked,CB,Zone,11022247
